Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;May_include_samples_listed_before;Sample_size;Variant_cases
3;2022-03-23 17:41:04;2021-03-22;C.37;Lambda;DEV;;False;1601;0
3;2022-03-23 17:41:04;2021-03-22;BA.1;;VOC;VOC;True;1601;0
3;2022-03-23 17:41:04;2021-03-22;BA.2;;VOC;VOC;True;1601;0
3;2022-03-23 17:41:04;2021-03-22;BA.3;;VOC;VOC;True;1601;0
3;2022-03-23 17:41:04;2021-03-29;B.1.351;Beta;VOC;;False;1711;40
3;2022-03-23 17:41:04;2021-03-29;P.1;Gamma;VOC;;False;1711;15
3;2022-03-23 17:41:04;2021-03-29;B.1.617.2;Delta;VOC;VOC;False;1711;0
3;2022-03-23 17:41:04;2021-03-29;B.1.1.529;Omicron;VOC;VOC;False;1711;0
3;2022-03-23 17:41:04;2021-03-29;B.1.640;;VUM;VUM;False;1711;0
3;2022-03-23 17:41:04;2021-03-29;XF;;VUM;;False;1711;0
3;2022-03-23 17:41:04;2021-03-29;XD;;VUM;VUM;False;1711;0
3;2022-03-23 17:41:04;2021-03-29;B.1.1.7;Alpha;DEV;;False;1711;1620
3;2022-03-23 17:41:04;2021-03-29;B.1.621;Mu;DEV;;False;1711;0
3;2022-03-23 17:41:04;2021-03-29;C.37;Lambda;DEV;;False;1711;0
3;2022-03-23 17:41:04;2021-03-29;BA.1;;VOC;VOC;True;1711;0
3;2022-03-23 17:41:04;2021-03-29;BA.2;;VOC;VOC;True;1711;0
3;2022-03-23 17:41:04;2021-03-29;BA.3;;VOC;VOC;True;1711;0
3;2022-03-23 17:41:04;2021-04-05;B.1.351;Beta;VOC;;False;1532;28
3;2022-03-23 17:41:04;2021-04-05;P.1;Gamma;VOC;;False;1532;23
3;2022-03-23 17:41:04;2021-04-05;B.1.617.2;Delta;VOC;VOC;False;1532;0
3;2022-03-23 17:41:04;2021-04-05;B.1.1.529;Omicron;VOC;VOC;False;1532;0
3;2022-03-23 17:41:04;2021-04-05;B.1.640;;VUM;VUM;False;1532;0
3;2022-03-23 17:41:04;2021-04-05;XF;;VUM;;False;1532;0
3;2022-03-23 17:41:04;2021-04-05;XD;;VUM;VUM;False;1532;0
3;2022-03-23 17:41:04;2021-04-05;B.1.1.7;Alpha;DEV;;False;1532;1461
3;2022-03-23 17:41:04;2021-04-05;B.1.621;Mu;DEV;;False;1532;1
3;2022-03-23 17:41:04;2021-04-05;C.37;Lambda;DEV;;False;1532;0
3;2022-03-23 17:41:04;2021-04-05;BA.1;;VOC;VOC;True;1532;0
3;2022-03-23 17:41:04;2021-04-05;BA.2;;VOC;VOC;True;1532;0
3;2022-03-23 17:41:04;2021-04-05;BA.3;;VOC;VOC;True;1532;0
3;2022-03-23 17:41:04;2021-04-12;B.1.351;Beta;VOC;;False;1677;20
3;2022-03-23 17:41:04;2021-04-12;P.1;Gamma;VOC;;False;1677;21
3;2022-03-23 17:41:04;2021-04-12;B.1.617.2;Delta;VOC;VOC;False;1677;1
3;2022-03-23 17:41:04;2021-04-12;B.1.1.529;Omicron;VOC;VOC;False;1677;0
3;2022-03-23 17:41:04;2021-04-12;B.1.640;;VUM;VUM;False;1677;0
3;2022-03-23 17:41:04;2021-04-12;XF;;VUM;;False;1677;0
3;2022-03-23 17:41:04;2021-04-12;XD;;VUM;VUM;False;1677;0
3;2022-03-23 17:41:04;2021-04-12;B.1.1.7;Alpha;DEV;;False;1677;1621
3;2022-03-23 17:41:04;2021-04-12;B.1.621;Mu;DEV;;False;1677;1
3;2022-03-23 17:41:04;2021-04-12;C.37;Lambda;DEV;;False;1677;0
3;2022-03-23 17:41:04;2021-04-12;BA.1;;VOC;VOC;True;1677;0
3;2022-03-23 17:41:04;2021-04-12;BA.2;;VOC;VOC;True;1677;0
3;2022-03-23 17:41:04;2021-04-12;BA.3;;VOC;VOC;True;1677;0
3;2022-03-23 17:41:04;2021-04-19;B.1.351;Beta;VOC;;False;1593;18
3;2022-03-23 17:41:04;2021-04-19;P.1;Gamma;VOC;;False;1593;28
3;2022-03-23 17:41:04;2021-04-19;B.1.617.2;Delta;VOC;VOC;False;1593;2
3;2022-03-23 17:41:04;2021-04-19;B.1.1.529;Omicron;VOC;VOC;False;1593;0
3;2022-03-23 17:41:04;2021-04-19;B.1.640;;VUM;VUM;False;1593;0
3;2022-03-23 17:41:04;2021-04-19;XF;;VUM;;False;1593;0
3;2022-03-23 17:41:04;2021-04-19;XD;;VUM;VUM;False;1593;0
3;2022-03-23 17:41:04;2021-04-19;B.1.1.7;Alpha;DEV;;False;1593;1532
3;2022-03-23 17:41:04;2021-04-19;B.1.621;Mu;DEV;;False;1593;2
3;2022-03-23 17:41:04;2021-04-19;C.37;Lambda;DEV;;False;1593;0
3;2022-03-23 17:41:04;2021-04-19;BA.1;;VOC;VOC;True;1593;0
3;2022-03-23 17:41:04;2021-04-19;BA.2;;VOC;VOC;True;1593;0
3;2022-03-23 17:41:04;2021-04-19;BA.3;;VOC;VOC;True;1593;0
3;2022-03-23 17:41:04;2021-04-26;B.1.351;Beta;VOC;;False;1691;7
3;2022-03-23 17:41:04;2021-04-26;P.1;Gamma;VOC;;False;1691;28
3;2022-03-23 17:41:04;2021-04-26;B.1.617.2;Delta;VOC;VOC;False;1691;4
3;2022-03-23 17:41:04;2021-04-26;B.1.1.529;Omicron;VOC;VOC;False;1691;0
3;2022-03-23 17:41:04;2021-04-26;B.1.640;;VUM;VUM;False;1691;0
3;2022-03-23 17:41:04;2021-04-26;XF;;VUM;;False;1691;0
3;2022-03-23 17:41:04;2021-04-26;XD;;VUM;VUM;False;1691;0
3;2022-03-23 17:41:04;2021-04-26;B.1.1.7;Alpha;DEV;;False;1691;1643
3;2022-03-23 17:41:04;2021-04-26;B.1.621;Mu;DEV;;False;1691;1
3;2022-03-23 17:41:04;2021-04-26;C.37;Lambda;DEV;;False;1691;0
3;2022-03-23 17:41:04;2021-04-26;BA.1;;VOC;VOC;True;1691;0
3;2022-03-23 17:41:04;2021-04-26;BA.2;;VOC;VOC;True;1691;0
3;2022-03-23 17:41:04;2021-04-26;BA.3;;VOC;VOC;True;1691;0
